Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Impact
15,15,11/14/21,20-084,CHO,,GSW,W (+4),1,37:32:00,8,17,0.471,4,8,0.5,1,1,1,0,7,7,5,3,0,4,5,21,14.9,13
16,16,11/17/21,20-087,CHO,,WAS,W (+10),1,35:54:00,4,18,0.222,2,7,0.286,1,1,1,2,4,6,14,2,0,5,3,11,8.2,19
17,17,11/19/21,20-089,CHO,,IND,W (+3),1,39:25:00,12,22,0.545,4,9,0.444,4,4,1,1,10,11,8,1,0,5,1,32,26.3,14
18,18,11/20/21,20-090,CHO,@,ATL,L (-10),1,34:17:00,5,18,0.278,3,7,0.429,2,2,1,3,6,9,11,2,1,1,2,15,16.9,-7
19,19,11/22/21,20-092,CHO,@,WAS,W (+6),1,38:16:00,10,24,0.417,3,9,0.333,5,7,0.714,1,12,13,7,3,1,6,1,28,20.9,12
20,20,11/24/21,20-094,CHO,@,ORL,W (+7),1,25:42:00,7,17,0.412,4,9,0.444,4,4,1,1,3,4,4,0,0,2,4,22,13.7,-2
21,21,11/26/21,20-096,CHO,,MIN,W (+18),1,29:07:00,4,10,0.4,0,3,0,2,3,0.667,1,5,6,13,1,0,4,2,10,11.7,9
22,22,11/27/21,20-097,CHO,@,HOU,L (-3),1,39:33:00,7,19,0.368,2,6,0.333,3,3,1,4,7,11,13,1,0,2,5,19,19.5,-14
23,23,11/29/21,20-099,CHO,@,CHI,L (-14),1,32:00:00,5,15,0.333,3,8,0.375,5,6,0.833,2,5,7,13,2,1,3,3,18,19.6,-9
24,24,12/1/21,20-101,CHO,@,MIL,L (-2),1,41:11:00,12,22,0.545,8,15,0.533,4,4,1,1,4,5,9,3,1,7,4,36,28.7,2
25,,12/5/21,20-105,CHO,@,ATL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,12/6/21,20-106,CHO,,PHI,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,12/8/21,20-108,CHO,,PHI,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,12/10/21,20-110,CHO,,SAC,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,12/13/21,20-113,CHO,@,DAL,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,12/15/21,20-115,CHO,@,SAS,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,25,12/17/21,20-117,CHO,@,POR,L (-9),1,28:36:00,11,17,0.647,3,5,0.6,2,2,1,1,3,4,5,1,0,2,4,27,22,-10
32,26,12/19/21,20-119,CHO,@,PHO,L (-31),1,24:45:00,2,12,0.167,1,6,0.167,4,4,1,5,5,10,7,2,1,2,2,9,11.2,-22
33,27,12/20/21,20-120,CHO,@,UTA,L (-10),1,32:44:00,8,20,0.4,3,7,0.429,2,2,1,2,4,6,11,0,1,4,6,21,14.8,-14
34,28,12/23/21,20-123,CHO,@,DEN,W (+8),1,24:56:00,5,11,0.455,1,5,0.2,5,5,1,0,5,5,4,4,1,3,4,16,14.7,-1
35,29,12/27/21,20-127,CHO,,HOU,W (+24),1,24:31:00,6,12,0.5,4,7,0.571,0,0,,1,4,5,7,2,0,1,2,16,17,17
36,30,12/29/21,20-129,CHO,@,IND,W (+8),1,33:41:00,8,13,0.615,1,4,0.25,4,5,0.8,5,7,12,9,1,0,4,2,21,22.8,13
37,31,1/2/22,20-133,CHO,,PHO,L (-34),1,23:10,5,12,0.417,3,6,0.5,4,6,0.667,0,3,3,1,0,1,1,1,17,10.7,-32
38,32,1/3/22,20-134,CHO,@,WAS,L (-3),1,31:20:00,8,21,0.381,2,9,0.222,0,1,0,1,3,4,2,0,0,2,4,18,5.5,-1
39,33,1/5/22,20-136,CHO,,DET,W (+29),1,29:40:00,4,11,0.364,3,9,0.333,1,2,0.5,0,8,8,12,1,1,4,2,12,13.2,22
40,34,1/8/22,20-139,CHO,,MIL,W (+8),1,26:20:00,8,19,0.421,2,7,0.286,1,2,0.5,2,7,9,8,1,0,2,5,19,14.6,-2
41,35,1/10/22,20-141,CHO,,MIL,W (+4),1,35:22:00,8,19,0.421,4,12,0.333,3,3,1,3,2,5,3,0,0,4,0,23,13.7,-2
42,36,1/12/22,20-143,CHO,@,PHI,W (+11),1,35:41:00,5,16,0.313,0,8,0,3,3,1,0,7,7,8,1,0,1,0,13,11.5,18
